Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
29-07-22,5.86,2.29,2.29,2.29,2.29,2.29,2.29,2.29
30-07-22,5.86,5.86,2.29,2.29,2.29,2.29,2.29,2.29
31-07-22,5.86,5.86,5.86,2.29,2.29,2.29,2.29,2.29
01-08-22,6.0,5.86,5.86,5.86,2.29,2.29,2.29,2.29
02-08-22,6.0,6.0,5.86,5.86,5.86,2.29,2.29,2.29
03-08-22,6.0,6.0,6.0,5.86,5.86,5.86,2.29,2.29
04-08-22,6.0,6.0,6.0,6.0,5.86,5.86,5.86,2.29
05-08-22,3.0,6.0,6.0,6.0,6.0,5.86,5.86,5.86
06-08-22,3.0,3.0,6.0,6.0,6.0,6.0,5.86,5.86
07-08-22,3.0,3.0,3.0,6.0,6.0,6.0,6.0,5.86
08-08-22,2.86,3.0,3.0,3.0,6.0,6.0,6.0,6.0
09-08-22,2.86,2.86,3.0,3.0,3.0,6.0,6.0,6.0
10-08-22,3.0,2.86,2.86,3.0,3.0,3.0,6.0,6.0
11-08-22,3.0,3.0,2.86,2.86,3.0,3.0,3.0,6.0
12-08-22,16.14,3.0,3.0,2.86,2.86,3.0,3.0,3.0
13-08-22,16.14,16.14,3.0,3.0,2.86,2.86,3.0,3.0
14-08-22,16.14,16.14,16.14,3.0,3.0,2.86,2.86,3.0
15-08-22,16.14,16.14,16.14,16.14,3.0,3.0,2.86,2.86
16-08-22,16.14,16.14,16.14,16.14,16.14,3.0,3.0,2.86
17-08-22,16.0,16.14,16.14,16.14,16.14,16.14,3.0,3.0
18-08-22,16.0,16.0,16.14,16.14,16.14,16.14,16.14,3.0
19-08-22,4.71,16.0,16.0,16.14,16.14,16.14,16.14,16.14
20-08-22,4.71,4.71,16.0,16.0,16.14,16.14,16.14,16.14
21-08-22,4.71,4.71,4.71,16.0,16.0,16.14,16.14,16.14
22-08-22,4.71,4.71,4.71,4.71,16.0,16.0,16.14,16.14
23-08-22,4.71,4.71,4.71,4.71,4.71,16.0,16.0,16.14
24-08-22,4.71,4.71,4.71,4.71,4.71,4.71,16.0,16.0
25-08-22,4.71,4.71,4.71,4.71,4.71,4.71,4.71,16.0
26-08-22,9.86,4.71,4.71,4.71,4.71,4.71,4.71,4.71
27-08-22,9.86,9.86,4.71,4.71,4.71,4.71,4.71,4.71
28-08-22,9.86,9.86,9.86,4.71,4.71,4.71,4.71,4.71
29-08-22,10.14,9.86,9.86,9.86,4.71,4.71,4.71,4.71
30-08-22,10.14,10.14,9.86,9.86,9.86,4.71,4.71,4.71
31-08-22,10.14,10.14,10.14,9.86,9.86,9.86,4.71,4.71
01-09-22,10.14,10.14,10.14,10.14,9.86,9.86,9.86,4.71
02-09-22,6.57,10.14,10.14,10.14,10.14,9.86,9.86,9.86
03-09-22,6.57,6.57,10.14,10.14,10.14,10.14,9.86,9.86
04-09-22,6.57,6.57,6.57,10.14,10.14,10.14,10.14,9.86
05-09-22,6.29,6.57,6.57,6.57,10.14,10.14,10.14,10.14
06-09-22,6.57,6.29,6.57,6.57,6.57,10.14,10.14,10.14
07-09-22,6.57,6.57,6.29,6.57,6.57,6.57,10.14,10.14
08-09-22,6.57,6.57,6.57,6.29,6.57,6.57,6.57,10.14
09-09-22,5.86,6.57,6.57,6.57,6.29,6.57,6.57,6.57
10-09-22,5.86,5.86,6.57,6.57,6.57,6.29,6.57,6.57
11-09-22,5.86,5.86,5.86,6.57,6.57,6.57,6.29,6.57
12-09-22,5.86,5.86,5.86,5.86,6.57,6.57,6.57,6.29
13-09-22,5.57,5.86,5.86,5.86,5.86,6.57,6.57,6.57
